OnEk	OnEkAciklamasi	NetCarpan
LTREND	LOVE TREND	1.213931
COS	COŞAY BEBE	1.244488
FEKRA	FEKRA BABY	1.100039
BSR	BSR KİDS	1.161152
SAL	SALLY BEBE	1.150596
TEEN	JUSTTEEN	1.004480
CARIN	CARİNO'S KİDS	1.277823
MEL	MİNİEL	1.222265
MKEL	MİNİKEL	1.222265
PAR	PARTNER BABY	1.014536
ALGIY	AL-GİY	1.140040
ECR	ECRİX KİDS	1.222265
LEVIA	MİSS LEVİA	1.029592
UNAY	ÜNAYSİ BEBE	1.161152
FMN	FMN BUSELİ BEBE FEHMİ GÜNGÖR	1.222265
LUPI	LUPİTA BEBE	1.277823
NANA	NANA BABY	1.161152
WOMI	WOMİ KİDS	1.222265
AYBU	AYBÜŞ BABY	0.859030
MNT	MNT KİDS	1.090038
LOOP	BABY LOOP'S	1.161152
LOLA	LOLA BABY	1.029480
ONE	ONE BOYS	1.161152
HUNNY	HUNNYBABY	1.222265
NIBB	NİBBY BABY	0.977812
LIKE	MY LİKE KİDS	1.207153
ZAD	ZADE KİDS	1.144929
POOKİE	POOKİE BABY	1.222265
SJOB	SEENJOB KDS	1.211154
FUNN	FUNNY BABY	0.977812
CEY	N-CEY	0.977812
JOJO	JOJO MİNİ	0.977812
TMER	TRİKOMER	1.222265
UKO	UKO BABY	1.222265
MON	DB MOON BABY	0.977812
PALL	MİSS PALLONE	1.222265
LUCIA	LUCİANA	1.222265
CARMIN	CARMİN BABY	1.158513
MOEB	MOEBOON	1.222265
CHN	CHN KİDS	1.100039
VALOR	VALORYA	1.213931
TAS	TAŞKİDS	1.100039
VIPS	VIPS	1.266711
PAFF	PAFFUTO	1.029480
CHOI	BABY CHOİCE	1.222265
TROL	TROLLY KİDS	1.222265
URZA	URZALO BABY	1.222265
CASSI	CASSİOPE BABY	-1.298395
WNT	WİNTER	1.014536
TIX	MINITIX	1.244488
FRED	BY FRED	1.126151
MES	MESSINHO	1.126151
MIXIMA	MİXİMA KİDS	1.213931
MAXI	BY MAXİ CLUP 	1.213931
GULSE	GÜLSEN BEBE	1.222265
BEBLY	BEBLY KİDS	1.136706
YUFII	YUFİİ	1.068260
MTIX	MİNİTİX	1.244488
MCIX	MİNİCİX	1.161152
HUX	BABY HUX	0.971145
ILO	İLO KİDS&FAMİLY	1.222265
CARA	CARAVAN	1.222265
LORIT	LORİT BABY&KİDS	1.222265
PODIUM	PODİUMİNİ	1.213931
BEBINNI	BEBİNNİ KİDS	1.255600
WISI	WİSİON KİDS	0.971145
CAN	CANÖZ BEBE	1.150596
OYKU	ÖYKÜM KİDS CLUB	1.161152
ENBA	ENBAMİX KİDS	0.953367
LYON	LYON	1.130595
OZGUL	ÖZGÜL BEBE	2.055628
TOGI	TOGİ KİDS	1.031842
ARD	ARD KİDSWEAR	1.211154
BALL	BALLON BABY	1.222265
WISS	WİSS KİDS	1.222265
SERDE	NZ SERDE BEBE	1.185597
NINO	NAY NİNO	1.211154
TONGS	TONGS BEBE	1.100039
RAV	RAVZA	1.075593
PIO	PİO KİDS	1.110039
WINN	WİNNER BABY	1.161152
PATP	PATPATBABY	1.222265
MIRB	MİRABELBABY	1.222265
PIET	PİETRA BABY KİDS	1.222265
METEX	METEX KİDS BABY	1.266711
MITY	KİTY MİTY	1.213931
PAKEL	MİNİ PAKEL	1.100039
LUSA	MY LUSA	1.186153
MKON	MİNİKON	1.222265
TRADE	TRADE MARK	1.222265
